name,career_url
PhonePe,https://www.phonepe.com/careers/
Amazon,https://www.amazon.jobs/en/teams/in
Microsoft,https://careers.microsoft.com/professionals/us/en/l-india
Flipkart,https://www.flipkartcareers.com/
Swiggy,https://careers.swiggy.com/
Razorpay,https://razorpay.com/careers/
Zomato,https://www.zomato.com/careers
Ola,https://careers.olacabs.com/
BrowserStack,https://www.browserstack.com/careers
CRED,https://careers.cred.club/
OlaCabs,https://careers.olacabs.com/
TCS,https://www.tcs.com/careers
Wipro,https://careers.wipro.com/
Infosys,https://www.infosys.com/careers/
HCLTech,https://www.hcltech.com/careers
Meesho,https://careers.meesho.com/
BYJU'S,https://careers.byjus.com/
